aspect_ratio,blob_area_px,blob_fill_fraction,candidate_vs_gt_iou,circularity,edge_density,glcm_ASM,glcm_contrast,glcm_correlation,glcm_dissimilarity,glcm_energy,glcm_homogeneity,label,pred_total_area_px,scene_id,solidity,source
1.0,1926788,0.4823671579360962,0.9553112609533734,0.13724580953750273,0.37095165252685547,0.0033115616040668493,28.844549764770306,0.5986994837658699,3.9679798075772386,0.057341721559634004,0.24724737765583177,oil,1992623,oil_00000,0.7759148577629377,holdout
5.064102564102564,116346,0.24633033106134372,0.7252406268087205,0.06182924281896777,0.36128984949311627,0.004110560981543349,12.959839247201405,0.8999312379441732,2.630224888515141,0.06388489476032022,0.3367384246444023,oil,170919,oil_00001,0.45963511109428823,holdout
1.3528784648187633,79252,0.06533694244078493,0.2588360400841136,0.06925735257518119,0.37542291435800373,0.0032156357598249257,38.75677244839319,0.41371990657325475,4.670154810267862,0.056590628479978505,0.21296109332049545,oil,157051,oil_00002,0.5198124525867975,holdout
1.4182825484764543,445739,0.15008713994329986,0.8176068101017531,0.10226548711952692,0.3748895594156957,0.0030637218584807255,34.29701654359049,0.5221299119586968,4.3756688277308236,0.05521530427616647,0.22547117235089673,oil,521026,oil_00003,0.6208063477277543,holdout
1.3438320209973753,1424981,0.47280571404404526,0.8168251574012346,0.07473751303211977,0.3756129690545809,0.0029869132049379367,35.2484346502532,0.5228292854991554,4.429066984313156,0.054475863222018035,0.22434968159545363,oil,1579855,oil_00004,0.7124798035162462,holdout
1.0,2499645,0.6050764322280884,0.9639815009019648,0.19575882117554735,0.37223267555236816,0.0033214282892853903,29.3781512577987,0.5880627104604901,4.010340706962236,0.05742559414688836,0.24502685756647047,oil,2538569,oil_00005,0.7928681141755303,holdout
1.0,1863719,0.45802342891693115,0.9503288264788197,0.06651853186364334,0.36999988555908203,0.003588863993038334,27.991659530595435,0.5875193382379811,3.897746202804277,0.0596964762159779,0.2515216022654878,oil,1895957,oil_00006,0.5614987078970486,holdout
1.3561103810775295,259674,0.36107248724138985,0.8735870575791681,0.1018778887438249,0.36273646817045146,0.004459881623377898,25.766970509177167,0.6047065806891293,3.6672236323184224,0.06652901758606497,0.26940491782464326,oil,262684,oil_00007,0.5941442319175818,holdout
1.0521172638436482,297570,0.3492434861824037,0.17321954402573012,0.02832232452140736,0.376437530400945,0.003130138895733856,38.6644526875168,0.4287455004187962,4.663856008926178,0.05583234604423436,0.2130706304889705,oil,603370,oil_00008,0.4767456444927115,holdout
1.3836477987421383,51518,0.36672384219554033,0.7044263332357469,0.11245857804427915,0.3698948398141355,0.0036161948416809815,33.841820205449,0.4653387666588365,4.298618608079874,0.059958054181589254,0.23188718768249034,oil,103837,oil_00009,0.6611902506909948,holdout
