epoch,train_loss,train_iou,train_dice,train_precision,train_recall,val_loss,val_iou,val_dice,val_precision,val_recall
1,1.322788,0.274144,0.409326,0.274355,0.990685,1.679382,0.034110,0.065482,0.034110,1.000000
2,1.089365,0.539873,0.658582,0.541669,0.997752,1.618611,0.089835,0.162843,0.104526,0.433383
